,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
11-Jan-17,244,33.43,33.47,32.86,33.1,159.54,159.70,158.28,159.4,26.50,26.85,26.2,26.8,256.30,257.0,251.71,255.13,233.80,234.84,230.14,231.55,89.96,90.39,88.42,88.82
10-Jan-17,245,32.83,33.60,32.8,33.2,158.96,159.94,158.57,159.07,26.45,26.70,26.2,26.55,258.16,258.96,256.17,256.17,235.46,235.79,232.7,233.11,89.00,89.95,88.83,89.87
9-Jan-17,246,33.08,33.30,32.27,32.8,159.00,159.24,158.17,158.32,26.45,26.60,26.0,26.25,258.00,258.99,257.43,257.81,236.84,237.92,235.68,235.81,89.90,90.03,88.21,88.8
6-Jan-17,247,33.81,33.81,33.1,33.36,158.98,159.66,157.89,159.1,27.10,27.10,26.35,26.65,255.48,258.57,255.48,257.85,235.90,237.50,235.77,236.73,90.15,90.43,89.48,90.11
5-Jan-17,248,33.82,34.26,32.86,33.84,158.41,159.70,157.40,158.71,28.30,28.55,26.9,26.95,254.37,258.02,254.10,255.98,235.21,237.42,234.35,235.99,90.17,91.13,89.85,90.06
4-Jan-17,249,33.65,34.32,33.4,34.12,157.81,159.23,157.81,158.62,27.40,28.65,27.35,28.6,254.10,254.9,253.34,253.99,235.24,236.99,234.83,235.25,90.00,91.36,89.92,90.25
3-Jan-17,250,33.94,34.10,32.85,33.33,156.30,157.14,155.21,156.97,26.90,27.30,26.5,27.1,251.20,254.11,250.76,253.31,234.10,235.24,233.14,234.89,87.92,89.80,87.76,89.61
30-Dec-16,251,33.71,33.97,33.25,33.7,156.49,156.79,154.96,155.68,26.90,26.95,26.3,26.5,250.53,251.32,248.78,249.94,232.88,233.34,231.71,232.58,88.75,88.75,87.57,87.73
29-Dec-16,252,33.80,34.42,33.4,33.66,156.00,156.75,155.16,155.69,27.15,27.45,26.6,26.75,250.19,251.92,249.45,250.59,232.23,233.82,232.1,232.63,87.76,88.59,87.65,88.46
28-Dec-16,253,34.41,34.70,33.63,33.67,157.12,157.35,156.01,156.1,28.10,28.40,27.15,27.15,250.44,251.0,248.52,249.58,233.24,233.68,231.56,231.95,88.10,88.46,87.29,87.84
27-Dec-16,254,34.13,34.73,33.96,34.28,158.41,158.48,156.91,157.48,27.35,28.20,27.35,28.05,250.78,251.75,250.20,250.86,233.97,234.35,232.33,233.24,87.89,88.37,87.49,88.22
23-Dec-16,255,34.18,34.57,33.54,34.12,158.27,158.27,156.51,157.81,27.45,27.60,27.05,27.4,248.17,251.88,247.01,249.59,231.47,234.37,231.24,232.99,87.41,87.81,86.16,87.48
22-Dec-16,256,34.50,34.60,33.88,34.16,158.50,158.99,156.25,157.46,26.90,27.45,26.55,27.25,252.01,253.5,251.10,252.8,233.61,234.48,232.51,233.72,86.50,87.79,86.4,87.38
21-Dec-16,257,34.38,34.73,34.22,34.43,156.69,158.50,156.65,157.48,27.30,27.65,26.75,27.05,254.50,254.5,252.28,252.52,235.55,235.68,233.09,233.15,87.29,87.73,86.69,86.97
20-Dec-16,258,34.99,35.59,34.29,34.47,156.96,157.89,155.95,156.39,27.45,27.75,26.7,27.45,252.18,253.78,252.10,253.73,233.97,235.34,233.55,235.14,87.58,87.90,86.67,87.3
19-Dec-16,259,34.02,35.16,34.02,34.7,155.16,157.10,155.07,156.18,26.55,27.35,26.4,27.35,249.54,252.46,249.54,252.18,232.71,234.08,230.64,233.54,86.51,87.69,86.51,87.33
16-Dec-16,260,34.39,35.20,33.68,33.95,153.88,156.00,153.14,154.5,27.20,27.40,26.4,26.6,251.28,252.79,249.03,250.08,232.07,234.07,231.03,231.7,86.14,87.73,86.14,86.75
15-Dec-16,261,34.07,35.18,33.66,34.43,153.93,155.24,153.06,153.77,27.10,27.80,27.0,27.05,252.34,253.31,250.41,250.65,233.02,234.80,231.84,231.99,86.39,87.48,85.73,86.0
14-Dec-16,262,35.39,35.59,33.8,33.86,156.23,156.37,154.18,154.47,27.85,28.05,26.95,27.05,252.31,254.83,252.08,252.3,232.01,235.83,231.63,232.1,86.59,87.09,84.98,86.4
13-Dec-16,263,36.07,36.51,35.08,35.48,159.10,160.07,154.88,156.66,28.30,28.75,27.45,27.9,254.67,255.5,250.12,251.69,232.00,234.24,230.47,231.56,87.89,87.89,86.38,86.6
